Desc	Family ID	human	chimp	orang	baboon	gibbon	macaque	marmoset	rat	mouse	cat	horse	cow
(null)	0	66	61	61	62	63	64	66	63	61	59	62	63
(null)	1	52	55	54	57	54	56	56	53	52	57	55	54
(null)	2	76	51	41	39	45	36	37	67	79	37	41	49
(null)	3	50	49	48	48	46	49	48	55	52	51	47	55
(null)	4	43	43	47	53	44	47	46	59	58	51	50	55
(null)	5	43	40	43	44	31	46	33	79	70	43	49	50
(null)	6	45	46	50	46	46	47	46	48	49	45	44	48
(null)	7	44	41	44	42	45	46	50	44	44	44	42	44
(null)	8	40	47	45	44	44	37	46	46	39	48	46	45
(null)	9	33	33	36	43	30	40	83	34	36	40	42	39
(null)	10	36	38	42	41	42	38	43	38	41	42	43	40
(null)	11	39	33	36	37	34	35	37	48	61	33	41	46
(null)	12	41	37	37	37	36	46	46	37	40	42	37	42
(null)	13	35	31	33	35	33	27	36	56	65	37	36	40
(null)	14	33	37	41	38	38	41	38	38	33	41	37	39
(null)	15	78	33	36	34	30	34	39	33	37	35	30	31
(null)	16	39	31	32	42	30	35	65	27	27	32	31	29
(null)	17	23	15	13	12	6	15	18	84	62	33	72	58
(null)	18	29	34	34	33	37	35	37	34	31	35	33	36
(null)	19	32	32	29	30	24	32	28	44	42	33	36	42
(null)	20	38	24	29	38	27	42	37	26	32	22	24	61
(null)	21	47	22	19	23	13	17	16	59	42	34	40	52
(null)	22	40	31	31	31	26	34	42	33	29	27	27	25
(null)	23	45	22	22	24	18	28	22	44	55	24	36	30
(null)	24	30	29	28	28	27	29	28	29	29	30	29	31
(null)	25	28	27	29	31	28	28	30	29	29	28	30	28
(null)	26	27	27	27	27	26	25	30	30	32	27	29	29
(null)	27	27	26	28	26	29	25	28	26	27	34	26	27
(null)	28	25	28	26	28	28	29	30	27	25	29	26	27
(null)	29	22	26	28	29	30	29	28	26	24	31	26	27
(null)	30	26	23	26	24	28	26	26	29	23	35	28	26
(null)	31	30	27	28	25	23	14	27	35	28	24	25	25
(null)	32	22	25	27	26	24	35	23	25	23	21	24	34
(null)	33	23	23	26	24	24	35	26	26	26	26	24	25
(null)	34	34	24	22	24	23	30	25	25	26	25	25	24
(null)	35	27	25	27	25	23	25	23	25	27	26	25	26
(null)	36	40	11	18	26	12	29	33	33	35	13	35	17
(null)	37	20	18	24	24	18	27	24	27	33	32	22	32
(null)	38	27	24	20	22	20	25	22	24	46	20	22	28
(null)	39	20	21	19	20	19	25	17	15	20	24	22	77
(null)	40	28	24	25	26	25	27	34	20	19	25	24	22
(null)	41	21	21	23	24	24	23	24	22	24	25	25	23
(null)	42	11	15	25	33	11	22	63	20	16	26	12	20
(null)	43	20	22	22	22	21	25	23	20	20	27	24	24
(null)	44	23	21	25	23	20	24	25	23	20	22	22	22
(null)	45	49	20	22	19	14	8	18	35	33	9	14	15
(null)	46	20	12	24	35	13	30	33	18	16	26	15	14
(null)	47	23	21	19	22	21	22	22	24	21	21	20	20
(null)	48	25	18	20	19	20	21	22	19	21	20	18	18
(null)	49	17	18	20	19	19	21	22	20	20	21	19	20
(null)	50	19	20	18	19	18	18	20	20	20	21	20	22
(null)	51	17	17	18	18	18	25	22	19	19	20	19	19
(null)	52	24	17	18	18	21	19	20	19	18	18	19	18
(null)	53	19	17	17	20	20	17	18	20	19	21	20	19
(null)	54	19	15	17	17	16	19	27	23	14	17	17	25
(null)	55	20	19	19	17	17	21	20	18	19	18	19	18
(null)	56	19	18	19	19	19	20	19	19	17	17	19	17
(null)	57	20	18	19	19	19	15	18	19	19	19	18	19
(null)	58	25	15	25	16	14	17	19	16	17	23	19	15
(null)	59	34	18	16	16	16	18	20	19	22	14	14	14
(null)	60	19	17	18	16	15	21	18	19	20	20	17	19
(null)	61	21	18	18	18	18	18	19	17	18	18	17	18
(null)	62	19	17	18	14	17	16	15	18	25	17	20	22
(null)	63	15	12	23	13	26	14	21	14	21	24	19	15
(null)	64	21	18	19	18	17	17	13	19	18	18	18	19
(null)	65	27	20	18	21	22	17	14	15	17	14	13	15
(null)	66	28	18	20	19	9	17	16	19	24	10	13	18
(null)	67	18	17	18	17	17	14	17	17	17	17	18	16
(null)	68	14	0	8	13	4	8	6	46	36	8	29	28
(null)	69	20	15	17	18	15	14	16	16	16	18	16	18
(null)	70	17	16	15	16	17	17	16	17	16	16	16	15
(null)	71	19	16	18	18	15	5	19	20	19	15	15	15
(null)	72	17	13	13	15	11	10	8	13	17	13	24	39
(null)	73	65	4	20	16	3	11	8	2	12	3	25	21
(null)	74	16	13	17	16	17	14	14	16	15	18	16	17
(null)	75	15	16	16	16	16	14	17	16	15	15	16	16
(null)	76	24	12	16	12	14	20	19	17	13	13	12	12
(null)	77	17	0	13	12	2	11	5	40	42	8	21	12
(null)	78	13	14	15	15	12	17	15	15	14	16	15	16
(null)	79	25	20	15	12	12	12	8	8	23	10	13	18
(null)	80	13	14	15	16	16	13	15	15	16	13	13	14
(null)	81	16	17	14	15	12	12	13	15	16	15	14	14
(null)	82	13	14	16	15	13	14	15	15	15	15	14	13
(null)	83	11	14	15	13	14	17	14	15	13	15	16	14
(null)	84	12	14	15	14	13	15	15	14	15	15	14	14
(null)	85	12	12	13	12	13	11	11	19	21	14	17	15
(null)	86	14	14	15	14	14	14	14	14	12	15	15	14
(null)	87	12	13	19	13	12	11	13	15	14	15	14	14
(null)	88	15	10	12	13	16	13	14	12	10	13	13	24
(null)	89	12	14	10	14	10	14	9	19	22	10	16	14
(null)	90	12	14	14	14	14	14	14	14	13	14	14	13
(null)	91	13	14	14	13	13	11	14	14	15	14	14	15
(null)	92	9	13	18	16	13	13	16	13	13	13	13	13
(null)	93	10	13	10	14	11	14	17	17	16	6	16	19
(null)	94	12	9	11	14	12	17	10	16	16	17	14	14
(null)	95	15	12	13	12	13	14	12	13	15	17	13	13
(null)	96	0	3	3	0	0	1	3	48	90	6	6	2
(null)	97	14	18	25	10	14	12	25	10	11	7	2	13
(null)	98	14	11	13	14	13	14	14	14	13	13	12	12
(null)	99	15	12	11	11	13	13	12	12	10	17	17	12
(null)	100	13	10	13	13	12	13	13	15	14	13	10	14
(null)	101	27	10	12	10	11	8	12	11	11	16	11	13
(null)	102	15	11	14	13	13	12	12	13	10	13	13	13
(null)	103	15	12	15	6	14	15	4	12	13	12	13	21
(null)	104	10	12	12	14	12	12	16	12	12	13	13	13
(null)	105	8	7	6	7	6	9	8	8	8	10	15	56
(null)	106	12	12	12	12	13	12	12	12	11	15	11	14
(null)	107	12	10	12	12	12	14	13	13	13	12	12	12
(null)	108	9	12	12	13	13	10	10	14	12	14	14	14
(null)	109	5	4	5	4	4	4	4	38	66	3	5	5
(null)	110	10	10	12	10	9	10	13	13	10	12	13	24
(null)	111	12	12	12	12	11	13	12	13	12	12	12	12
(null)	112	12	10	12	10	10	14	12	12	13	14	13	13
(null)	113	11	13	12	11	12	12	12	16	14	10	9	11
(null)	114	13	11	10	11	11	13	9	18	17	10	10	10
